class_id,comparison,placebo_type,feature_space,nA,nB,stat_energy,p_energy,stat_mmd2,p_mmd2,n_perm,seed,perm_method
weekday__shoulder,2023_vs_2024,year_by_year,shape_24D,109,110,0.07675633085125,0.029940119760479042,0.008957037858403405,0.031936127744510975,500,12345,iid
weekday__shoulder,2023_vs_2024,year_by_year,level_3D,109,110,6.3439342568587875,0.001996007984031936,0.06174718978840321,0.001996007984031936,500,12345,iid
weekday__summer,2023_vs_2024,year_by_year,shape_24D,66,65,0.3191370405017837,0.001996007984031936,0.049829957169647665,0.001996007984031936,500,12345,iid
weekday__summer,2023_vs_2024,year_by_year,level_3D,66,65,11.405233631163597,0.001996007984031936,0.10169595148979305,0.001996007984031936,500,12345,iid
weekday__winter,2023_vs_2024,year_by_year,shape_24D,85,87,-0.009461156311922458,0.46706586826347307,-0.0022945318150922045,0.5728542914171657,500,12345,iid
weekday__winter,2023_vs_2024,year_by_year,level_3D,85,87,13.620304563880865,0.001996007984031936,0.10660980219672922,0.001996007984031936,500,12345,iid
weekend__shoulder,2023_vs_2024,year_by_year,shape_24D,42,41,0.05971681418593189,0.1596806387225549,0.007292113032627778,0.16766467065868262,500,12345,iid
weekend__shoulder,2023_vs_2024,year_by_year,level_3D,42,41,10.611517410573683,0.001996007984031936,0.10073548465728366,0.003992015968063872,500,12345,iid
weekend__summer,2023_vs_2024,year_by_year,shape_24D,26,27,-0.023631096107390448,0.4291417165668663,-0.0025014857431648885,0.4171656686626746,500,12345,iid
weekend__summer,2023_vs_2024,year_by_year,level_3D,26,27,6.872647206927077,0.01996007984031936,0.060113575482381165,0.029940119760479042,500,12345,iid
weekend__winter,2023_vs_2024,year_by_year,shape_24D,35,34,0.09445904876731248,0.14171656686626746,0.010373721711209427,0.1536926147704591,500,12345,iid
weekend__winter,2023_vs_2024,year_by_year,level_3D,35,34,11.239154955196781,0.005988023952095809,0.09592335178326428,0.003992015968063872,500,12345,iid
weekday__shoulder,2024_vs_2025,year_by_year,shape_24D,110,110,0.07167807963464146,0.03992015968063872,0.008674946169060949,0.043912175648702596,500,12345,iid
weekday__shoulder,2024_vs_2025,year_by_year,level_3D,110,110,3.5500567021073977,0.007984031936127744,0.0244713706486257,0.003992015968063872,500,12345,iid
weekday__summer,2024_vs_2025,year_by_year,shape_24D,65,65,0.0387786673386703,0.16766467065868262,0.006708930725685791,0.1437125748502994,500,12345,iid
weekday__summer,2024_vs_2025,year_by_year,level_3D,65,65,-0.30891311955048906,0.5169660678642715,-0.0031309585698944264,0.5508982035928144,500,12345,iid
weekday__winter,2024_vs_2025,year_by_year,shape_24D,87,86,0.02355934277011862,0.24151696606786427,0.002678455527664436,0.25149700598802394,500,12345,iid
weekday__winter,2024_vs_2025,year_by_year,level_3D,87,86,9.549291496156599,0.001996007984031936,0.04974053427136771,0.001996007984031936,500,12345,iid
weekend__shoulder,2024_vs_2025,year_by_year,shape_24D,41,41,-0.05956117443855824,0.8163672654690619,-0.00859737270249794,0.8323353293413174,500,12345,iid
weekend__shoulder,2024_vs_2025,year_by_year,level_3D,41,41,-0.3125924120092236,0.48502994011976047,0.0011826277067508162,0.32934131736526945,500,12345,iid
weekend__summer,2024_vs_2025,year_by_year,shape_24D,27,27,-0.06164661914282821,0.6526946107784432,-0.008460332734064657,0.6686626746506986,500,12345,iid
weekend__summer,2024_vs_2025,year_by_year,level_3D,27,27,3.5060925852565106,0.041916167664670656,0.034353063970246955,0.06786427145708583,500,12345,iid
weekend__winter,2024_vs_2025,year_by_year,shape_24D,34,34,-0.06656440809656505,0.7045908183632734,-0.008519879372683281,0.7485029940119761,500,12345,iid
weekend__winter,2024_vs_2025,year_by_year,level_3D,34,34,7.990707486109287,0.01996007984031936,0.056274143990377334,0.033932135728542916,500,12345,iid
