class_id,comparison,placebo_type,feature_space,nA,nB,stat_energy,p_energy,stat_mmd2,p_mmd2,n_perm,seed,perm_method
weekday__shoulder,2022_vs_2023,blockperm_year_by_year,shape_24D,109,109,0.024562384067042586,0.14570858283433133,0.0024454464250942554,0.16766467065868262,500,12345,iid
weekday__shoulder,2022_vs_2023,blockperm_year_by_year,shape_24D,109,109,0.024562384067042586,0.49101796407185627,0.0024454464250942554,0.5249500998003992,500,12345,week
weekday__shoulder,2022_vs_2023,blockperm_year_by_year,shape_24D,109,109,0.024562384067042586,0.5049900199600799,0.0024454464250942554,0.5409181636726547,500,12345,biweek
weekday__shoulder,2022_vs_2023,blockperm_year_by_year,shape_24D,109,109,0.024562384067042586,0.7265469061876247,0.0024454464250942554,0.7544910179640718,500,12345,month
weekday__shoulder,2022_vs_2023,blockperm_year_by_year,level_3D,109,109,223.6560971738319,0.001996007984031936,0.6169308910972429,0.001996007984031936,500,12345,iid
weekday__shoulder,2022_vs_2023,blockperm_year_by_year,level_3D,109,109,223.6560971738319,0.001996007984031936,0.6169308910972429,0.001996007984031936,500,12345,week
weekday__shoulder,2022_vs_2023,blockperm_year_by_year,level_3D,109,109,223.6560971738319,0.001996007984031936,0.6169308910972429,0.001996007984031936,500,12345,biweek
weekday__shoulder,2022_vs_2023,blockperm_year_by_year,level_3D,109,109,223.6560971738319,0.007984031936127744,0.6169308910972429,0.005988023952095809,500,12345,month
weekday__summer,2022_vs_2023,blockperm_year_by_year,shape_24D,66,66,0.08870423746248024,0.03992015968063872,0.01044254687592061,0.06187624750499002,500,12345,iid
weekday__summer,2022_vs_2023,blockperm_year_by_year,shape_24D,66,66,0.08870423746248024,0.1437125748502994,0.01044254687592061,0.19560878243512975,500,12345,week
weekday__summer,2022_vs_2023,blockperm_year_by_year,shape_24D,66,66,0.08870423746248024,0.2874251497005988,0.01044254687592061,0.35129740518962077,500,12345,biweek
weekday__summer,2022_vs_2023,blockperm_year_by_year,shape_24D,66,66,0.08870423746248024,0.5049900199600799,0.01044254687592061,0.5049900199600799,500,12345,month
weekday__summer,2022_vs_2023,blockperm_year_by_year,level_3D,66,66,442.14490362440324,0.001996007984031936,0.7738898297486789,0.001996007984031936,500,12345,iid
weekday__summer,2022_vs_2023,blockperm_year_by_year,level_3D,66,66,442.14490362440324,0.001996007984031936,0.7738898297486789,0.001996007984031936,500,12345,week
weekday__summer,2022_vs_2023,blockperm_year_by_year,level_3D,66,66,442.14490362440324,0.001996007984031936,0.7738898297486789,0.001996007984031936,500,12345,biweek
weekday__summer,2022_vs_2023,blockperm_year_by_year,level_3D,66,66,442.14490362440324,0.10379241516966067,0.7738898297486789,0.059880239520958084,500,12345,month
weekday__winter,2022_vs_2023,blockperm_year_by_year,shape_24D,85,85,-0.02480359043831193,0.5888223552894212,-0.0033263908940655007,0.6467065868263473,500,12345,iid
weekday__winter,2022_vs_2023,blockperm_year_by_year,shape_24D,85,85,-0.02480359043831193,0.8962075848303394,-0.0033263908940655007,0.9161676646706587,500,12345,week
weekday__winter,2022_vs_2023,blockperm_year_by_year,shape_24D,85,85,-0.02480359043831193,0.9221556886227545,-0.0033263908940655007,0.9301397205588823,500,12345,biweek
weekday__winter,2022_vs_2023,blockperm_year_by_year,shape_24D,85,85,-0.02480359043831193,0.8143712574850299,-0.0033263908940655007,0.8363273453093812,500,12345,month
weekday__winter,2022_vs_2023,blockperm_year_by_year,level_3D,85,85,174.05719827337848,0.001996007984031936,0.46091337151165857,0.001996007984031936,500,12345,iid
weekday__winter,2022_vs_2023,blockperm_year_by_year,level_3D,85,85,174.05719827337848,0.001996007984031936,0.46091337151165857,0.001996007984031936,500,12345,week
weekday__winter,2022_vs_2023,blockperm_year_by_year,level_3D,85,85,174.05719827337848,0.001996007984031936,0.46091337151165857,0.001996007984031936,500,12345,biweek
weekday__winter,2022_vs_2023,blockperm_year_by_year,level_3D,85,85,174.05719827337848,0.033932135728542916,0.46091337151165857,0.033932135728542916,500,12345,month
weekend__shoulder,2022_vs_2023,blockperm_year_by_year,shape_24D,42,42,-0.07181284911668051,0.8682634730538922,-0.010062687641581025,0.9201596806387226,500,12345,iid
weekend__shoulder,2022_vs_2023,blockperm_year_by_year,shape_24D,42,42,-0.07181284911668051,0.9261477045908184,-0.010062687641581025,0.9481037924151696,500,12345,week
weekend__shoulder,2022_vs_2023,blockperm_year_by_year,shape_24D,42,42,-0.07181284911668051,0.9560878243512974,-0.010062687641581025,0.9680638722554891,500,12345,biweek
weekend__shoulder,2022_vs_2023,blockperm_year_by_year,shape_24D,42,42,-0.07181284911668051,0.9441117764471058,-0.010062687641581025,0.9461077844311377,500,12345,month
weekend__shoulder,2022_vs_2023,blockperm_year_by_year,level_3D,42,42,173.03041745562174,0.001996007984031936,0.5003378030053536,0.001996007984031936,500,12345,iid
weekend__shoulder,2022_vs_2023,blockperm_year_by_year,level_3D,42,42,173.03041745562174,0.001996007984031936,0.5003378030053536,0.001996007984031936,500,12345,week
weekend__shoulder,2022_vs_2023,blockperm_year_by_year,level_3D,42,42,173.03041745562174,0.001996007984031936,0.5003378030053536,0.001996007984031936,500,12345,biweek
weekend__shoulder,2022_vs_2023,blockperm_year_by_year,level_3D,42,42,173.03041745562174,0.003992015968063872,0.5003378030053536,0.003992015968063872,500,12345,month
weekend__summer,2022_vs_2023,blockperm_year_by_year,shape_24D,26,26,-0.07823098185574917,0.718562874251497,-0.010757607101151256,0.7265469061876247,500,12345,iid
