class_id,comparison,placebo_type,feature_space,nA,nB,stat_energy,p_energy,stat_mmd2,p_mmd2,n_perm,seed,perm_method
weekend__winter,2025_random_half_vs_half,placebo_B_random_halves_2025,level_3D,17,17,-3.9618504455877783,0.9481037924151696,-0.039214719643179796,0.9560878243512974,500,12345,iid
weekday__shoulder,2024_time_half_vs_half,placebo_C_time_halves_2024,shape_24D,66,44,0.27586677716133234,0.013972055888223553,0.03605322721587534,0.013972055888223553,500,12345,iid
weekday__shoulder,2024_time_half_vs_half,placebo_C_time_halves_2024,level_3D,66,44,2.6090020967070586,0.06786427145708583,0.03302254230743795,0.015968063872255488,500,12345,iid
weekday__summer,2024_time_half_vs_half,placebo_C_time_halves_2024,shape_24D,20,45,-0.12147525494748823,0.936127744510978,-0.01882025304800461,0.9580838323353293,500,12345,iid
weekday__summer,2024_time_half_vs_half,placebo_C_time_halves_2024,level_3D,20,45,-1.1943049415462639,0.6407185628742516,-0.0003259241748445607,0.4231536926147705,500,12345,iid
weekday__winter,2024_time_half_vs_half,placebo_C_time_halves_2024,shape_24D,44,43,0.12758465919176576,0.09181636726546906,0.016501930579901236,0.08982035928143713,500,12345,iid
weekday__winter,2024_time_half_vs_half,placebo_C_time_halves_2024,level_3D,44,43,31.145644161089507,0.001996007984031936,0.22617746453789123,0.001996007984031936,500,12345,iid
weekend__shoulder,2024_time_half_vs_half,placebo_C_time_halves_2024,shape_24D,25,16,0.037881106433007794,0.35528942115768464,0.0018026306658929236,0.41317365269461076,500,12345,iid
weekend__shoulder,2024_time_half_vs_half,placebo_C_time_halves_2024,level_3D,25,16,16.926988062602064,0.00998003992015968,0.19426777267927853,0.001996007984031936,500,12345,iid
weekend__summer,2024_time_half_vs_half,placebo_C_time_halves_2024,shape_24D,10,17,-0.07727541522361969,0.4750499001996008,-0.01611069439573365,0.5588822355289421,500,12345,iid
weekend__summer,2024_time_half_vs_half,placebo_C_time_halves_2024,level_3D,10,17,-4.199982896180998,0.9481037924151696,-0.035484855512796454,0.7704590818363274,500,12345,iid
weekend__winter,2024_time_half_vs_half,placebo_C_time_halves_2024,shape_24D,16,18,0.12831790559645206,0.23952095808383234,0.01608268842221605,0.2275449101796407,500,12345,iid
weekend__winter,2024_time_half_vs_half,placebo_C_time_halves_2024,level_3D,16,18,11.147745176494169,0.017964071856287425,0.11889613427388479,0.01996007984031936,500,12345,iid
weekday__shoulder,2025_time_half_vs_half,placebo_C_time_halves_2025,shape_24D,65,45,0.7949303517867596,0.001996007984031936,0.10414877970252978,0.001996007984031936,500,12345,iid
weekday__shoulder,2025_time_half_vs_half,placebo_C_time_halves_2025,level_3D,65,45,4.760850047664903,0.029940119760479042,0.055767897477797534,0.005988023952095809,500,12345,iid
weekday__summer,2025_time_half_vs_half,placebo_C_time_halves_2025,shape_24D,21,44,0.05108473023472149,0.22355289421157684,0.010744235812077951,0.2055888223552894,500,12345,iid
weekday__summer,2025_time_half_vs_half,placebo_C_time_halves_2025,level_3D,21,44,6.13650067497867,0.021956087824351298,0.05695464995980526,0.015968063872255488,500,12345,iid
weekday__winter,2025_time_half_vs_half,placebo_C_time_halves_2025,shape_24D,43,43,0.28557297670418347,0.015968063872255488,0.03638017194951204,0.011976047904191617,500,12345,iid
weekday__winter,2025_time_half_vs_half,placebo_C_time_halves_2025,level_3D,43,43,22.68215811891328,0.001996007984031936,0.09592754088605138,0.003992015968063872,500,12345,iid
weekend__shoulder,2025_time_half_vs_half,placebo_C_time_halves_2025,shape_24D,26,15,0.10798298686060193,0.17165668662674652,0.01305332787694291,0.1996007984031936,500,12345,iid
weekend__shoulder,2025_time_half_vs_half,placebo_C_time_halves_2025,level_3D,26,15,-0.8725159023097788,0.5049900199600799,-0.005240929020315477,0.4431137724550898,500,12345,iid
weekend__winter,2025_time_half_vs_half,placebo_C_time_halves_2025,shape_24D,16,18,0.24426419941197786,0.1377245508982036,0.026471088899337802,0.13572854291417166,500,12345,iid
weekend__winter,2025_time_half_vs_half,placebo_C_time_halves_2025,level_3D,16,18,19.16569561643707,0.003992015968063872,0.19228788840799305,0.003992015968063872,500,12345,iid
