class_id,comparison,placebo_type,feature_space,nA,nB,stat_energy,p_energy,stat_mmd2,p_mmd2,n_perm,seed,perm_method,replicate_id
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,-0.6934661871969325,0.6327345309381237,-0.003220874267343188,0.5289421157684631,500,12345,iid,14
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,-0.02169234856411162,0.5489021956087824,-0.002081688009745175,0.49500998003992014,500,12345,iid,15
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,0.12137311652969629,0.34530938123752497,0.008965961705929226,0.18363273453093812,500,12345,iid,15
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,-0.006977032760572932,0.4231536926147705,-0.0006206422150150104,0.42115768463073855,500,12345,iid,16
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,1.2481370989007416,0.1217564870259481,0.017072539970553358,0.07584830339321358,500,12345,iid,16
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,-0.058534983277324315,0.8902195608782435,-0.007163809000508836,0.8662674650698603,500,12345,iid,17
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,-0.9961053577587649,0.7844311377245509,-0.0075373646467364885,0.716566866267465,500,12345,iid,17
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,-0.044507166863454906,0.7365269461077845,-0.006099226630559285,0.7664670658682635,500,12345,iid,18
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,-0.7103699357778979,0.6726546906187625,-0.008202143588811994,0.782435129740519,500,12345,iid,18
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,-0.046812243702500034,0.7504990019960079,-0.0055451282969831706,0.7025948103792415,500,12345,iid,19
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,0.10714866903017395,0.33532934131736525,-2.2409117317323535e-06,0.37325349301397204,500,12345,iid,19
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,-0.05322638167088467,0.8303393213572854,-0.0074925896741648845,0.8602794411177644,500,12345,iid,20
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,-0.8044414624918872,0.6506986027944112,-0.0016613291532818764,0.41317365269461076,500,12345,iid,20
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,-0.04118604060491293,0.7145708582834331,-0.005089495988942483,0.6986027944111777,500,12345,iid,21
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,-0.2352822402686101,0.46107784431137727,-0.0016509110226683443,0.46506986027944114,500,12345,iid,21
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,0.005747479497588692,0.34930139720558884,0.0008822060086928207,0.3413173652694611,500,12345,iid,22
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,0.1248102877432018,0.3313373253493014,0.0069450956227303795,0.22954091816367264,500,12345,iid,22
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,-0.060396783273974464,0.8902195608782435,-0.00853525194714888,0.936127744510978,500,12345,iid,23
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,-1.1253223613610146,0.8602794411177644,-0.010320774935214327,0.8702594810379242,500,12345,iid,23
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,-0.04279242235364311,0.7225548902195609,-0.005314589879960252,0.7125748502994012,500,12345,iid,24
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,-0.48388133897170604,0.5449101796407185,-0.004558517277785112,0.5508982035928144,500,12345,iid,24
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,-0.007963827120149425,0.4550898203592814,-0.0012213719941729373,0.4590818363273453,500,12345,iid,25
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,-1.242337248936586,0.908183632734531,-0.012552822767246674,0.9540918163672655,500,12345,iid,25
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,0.0003197064733724275,0.3652694610778443,-0.0006360021902906965,0.40718562874251496,500,12345,iid,26
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,-1.2181638223558338,0.9141716566866267,-0.006712441614734388,0.7045908183632734,500,12345,iid,26
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,-0.038487029757941826,0.6926147704590818,-0.005347071783965873,0.7145708582834331,500,12345,iid,27
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,-0.10968011926775034,0.42714570858283435,0.0027871307239812904,0.3093812375249501,500,12345,iid,27
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,-0.03474387447045224,0.6786427145708582,-0.004522031487527389,0.6826347305389222,500,12345,iid,28
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,0.322671475732065,0.26746506986027946,-9.378027136142109e-05,0.3872255489021956,500,12345,iid,28
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,0.0738573773556217,0.10379241516966067,0.009386484689960284,0.10578842315369262,500,12345,iid,29
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,8.828540491833685,0.001996007984031936,0.07568822640122663,0.001996007984031936,500,12345,iid,29
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,0.16290253534169974,0.03992015968063872,0.021310137413497188,0.03992015968063872,500,12345,iid,30
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,-1.2664787792630179,0.9181636726546906,-0.009972391005010017,0.8502994011976048,500,12345,iid,30
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,-0.02615410557154263,0.5848303393213573,-0.0024341049698950457,0.5289421157684631,500,12345,iid,31
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,-0.9162093794009394,0.7425149700598802,-0.009797022613744488,0.8622754491017964,500,12345,iid,31
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,-0.032649432912768894,0.6487025948103793,-0.005025773353527274,0.7145708582834331,500,12345,iid,32
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,-0.007638028400961616,0.3413173652694611,0.0015111770050311168,0.3333333333333333,500,12345,iid,32
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,-0.042356385094150184,0.720558882235529,-0.005336988605725068,0.7105788423153693,500,12345,iid,33
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,-0.35097955564549466,0.4930139720558882,-0.008065100185638885,0.7604790419161677,500,12345,iid,33
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,-0.028616191074136488,0.5608782435129741,-0.003631730080846607,0.5668662674650699,500,12345,iid,34
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,-0.6711356905261283,0.6427145708582834,-0.007732058720094193,0.7345309381237525,500,12345,iid,34
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,0.0017858184821974987,0.3592814371257485,0.0006354231406999755,0.33532934131736525,500,12345,iid,35
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,-0.3453966952691445,0.48502994011976047,-0.002035109798103507,0.47305389221556887,500,12345,iid,35
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,-0.03626116192372386,0.7085828343313373,-0.004597125631909504,0.7045908183632734,500,12345,iid,36
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,1.7700170196237295,0.10578842315369262,0.027429630837931374,0.023952095808383235,500,12345,iid,36
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,0.06561377945426994,0.1277445109780439,0.007401500837170616,0.14570858283433133,500,12345,iid,37
